Kind,Name,Entity_Uniquename,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountLineCode,CountLine,CountSemicolon,CountDeclFunction
File,"AztecReader.java","@l./core/src/main/java/com/google/zxing/aztec/AztecReader.java",,"0.34",,3,0,3,,,82,123,42,3
File,"AztecWriter.java","@l./core/src/main/java/com/google/zxing/aztec/AztecWriter.java",,"0.31",,2,0,4,,,64,94,36,4
File,"BarcodeFormat.java","@l./core/src/main/java/com/google/zxing/BarcodeFormat.java",,"1.85",,2,17,2,,,20,77,1,0
File,"BarcodeMatrix.java","@l./core/src/main/java/com/google/zxing/pdf417/encoder/BarcodeMatrix.java",,"0.69",,6,4,6,,,36,70,22,6
File,"BarcodeMetadata.java","@l./core/src/main/java/com/google/zxing/pdf417/decoder/BarcodeMetadata.java",,"0.60",,6,5,6,,,30,58,16,6
File,"BarcodeRow.java","@l./core/src/main/java/com/google/zxing/pdf417/encoder/BarcodeRow.java",,"1.63",,5,2,5,,,27,79,15,5
File,"BarcodeValue.java","@l./core/src/main/java/com/google/zxing/pdf417/decoder/BarcodeValue.java",,"0.71",,3,1,3,,,35,68,20,3
File,"Base256Encoder.java","@l./core/src/main/java/com/google/zxing/datamatrix/encoder/Base256Encoder.java",,"0.33",,2,0,3,,,51,75,26,3
File,"BeepManager.java","@l./android/src/com/google/zxing/client/android/BeepManager.java",,"0.26",,6,4,7,,,87,125,51,7
File,"Binarizer.java","@l./core/src/main/java/com/google/zxing/Binarizer.java",,"2.57",,7,1,7,,,21,87,11,7
File,"BinaryBitmap.java","@l./core/src/main/java/com/google/zxing/BinaryBitmap.java",,"1.48",,11,2,11,,,54,150,22,11
File,"BinaryShiftToken.java","@l./core/src/main/java/com/google/zxing/aztec/encoder/BinaryShiftToken.java",,"0.59",,3,2,3,,,34,61,16,3
File,"BinaryUtil.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/BinaryUtil.java",,"0.74",,1,0,3,,,42,84,26,3
File,"BinaryUtilTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/BinaryUtilTest.java",,"0.63",,2,0,4,,,43,90,31,4
File,"BitArray.java","@l./core/src/main/java/com/google/zxing/common/BitArray.java",,"0.48",,26,2,27,,,221,359,121,27
File,"BitArrayBuilder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/BitArrayBuilder.java",,"0.64",,1,0,2,,,44,85,28,2
File,"BitArrayBuilderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/BitArrayBuilderTest.java",,"0.67",,1,0,3,,,42,85,26,3
File,"BitArrayTestCase.java","@l./core/src/test/java/com/google/zxing/common/BitArrayTestCase.java",,"0.08",,15,0,18,,,216,258,149,18
File,"BitMatrix.java","@l./core/src/main/java/com/google/zxing/common/BitMatrix.java",,"0.42",,28,4,30,,,329,514,187,30
File,"BitMatrixParser.java","@l./core/src/main/java/com/google/zxing/datamatrix/decoder/BitMatrixParser.java",,"0.36",,10,3,11,,,305,443,174,11
File,"BitMatrixParser.java","@l./core/src/main/java/com/google/zxing/maxicode/decoder/BitMatrixParser.java",,"0.37",,2,1,2,,,59,89,16,2
File,"BitMatrixParser.java","@l./core/src/main/java/com/google/zxing/qrcode/decoder/BitMatrixParser.java",,"0.50",,8,4,8,,,146,245,100,8
File,"BitMatrixTestCase.java","@l./core/src/test/java/com/google/zxing/common/BitMatrixTestCase.java",,"0.10",,14,0,19,,,270,347,201,19
File,"BitSource.java","@l./core/src/main/java/com/google/zxing/common/BitSource.java",,"0.90",,5,3,5,,,51,111,27,5
File,"BitSourceBuilder.java","@l./core/src/test/java/com/google/zxing/common/BitSourceBuilder.java",,"0.54",,3,3,3,,,37,65,22,3
File,"BitSourceTestCase.java","@l./core/src/test/java/com/google/zxing/common/BitSourceTestCase.java",,"0.72",,1,0,1,,,25,48,20,1
File,"BitVectorTestCase.java","@l./core/src/test/java/com/google/zxing/qrcode/encoder/BitVectorTestCase.java",,"0.28",,8,0,9,,,132,180,102,9
File,"BizcardResultParser.java","@l./core/src/main/java/com/google/zxing/client/result/BizcardResultParser.java",,"0.38",,1,0,3,,,65,100,26,3
File,"BlockPair.java","@l./core/src/main/java/com/google/zxing/qrcode/encoder/BlockPair.java",,"1.00",,3,2,3,,,15,37,7,3
File,"BlockParsedResult.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/BlockParsedResult.java",,"1.56",,4,2,4,,,18,54,8,4
File,"BookResultInfoRetriever.java","@l./android/src/com/google/zxing/client/android/result/supplement/BookResultInfoRetriever.java",,"0.32",,2,3,2,,,65,105,45,2
File,"BookmarkAdapter.java","@l./android/src/com/google/zxing/client/android/share/BookmarkAdapter.java",,"0.52",,5,2,5,,,44,78,25,5
File,"BookmarkDoCoMoResultParser.java","@l./core/src/main/java/com/google/zxing/client/result/BookmarkDoCoMoResultParser.java",,"1.00",,1,0,1,,,18,41,9,1
File,"BookmarkPickerActivity.java","@l./android/src/com/google/zxing/client/android/share/BookmarkPickerActivity.java",,"0.56",,2,1,2,,,48,81,30,2
File,"BoundingBox.java","@l./core/src/main/java/com/google/zxing/pdf417/decoder/BoundingBox.java",,"0.15",,11,9,12,,,119,157,66,12
File,"BrowseBookListener.java","@l./android/src/com/google/zxing/client/android/book/BrowseBookListener.java",,"0.44",,2,2,2,,,39,62,24,2
File,"BufferedImageLuminanceSource.java","@l./javase/src/main/java/com/google/zxing/client/j2se/BufferedImageLuminanceSource.java",,"0.38",,9,3,9,,,112,185,69,9
File,"BufferedImageLuminanceSource.java","@l./core/src/test/java/com/google/zxing/BufferedImageLuminanceSource.java",,"0.39",,9,3,9,,,111,183,68,9
File,"ByQuadrantReader.java","@l./core/src/main/java/com/google/zxing/multi/ByQuadrantReader.java",,"0.41",,4,1,5,,,71,117,38,5
File,"ByteMatrix.java","@l./core/src/main/java/com/google/zxing/qrcode/encoder/ByteMatrix.java",,"0.40",,10,3,10,,,60,99,30,10
File,"C40Encoder.java","@l./core/src/main/java/com/google/zxing/datamatrix/encoder/C40Encoder.java",,"0.20",,6,0,8,,,167,212,90,8
File,"CalendarEventGenerator.java","@l./zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/CalendarEventGenerator.java",,"0.11",,17,12,21,,,256,322,148,21
File,"CalendarParsedResult.java","@l./core/src/main/java/com/google/zxing/client/result/CalendarParsedResult.java",,"0.37",,15,11,19,,,171,259,87,19
File,"CalendarParsedResultTestCase.java","@l./core/src/test/java/com/google/zxing/client/result/CalendarParsedResultTestCase.java",,"0.10",,14,0,18,,,205,250,50,18
